Nodes;Addjested Nodes
559991450;{559991451,559991453,560399006,}
559991451;{965928416,559991450,559991452,}
559991452;{965928492,559991451,}
559991453;{965928492,560399005,559991450,}
560397654;{739249937,5373040433,}
560397655;{2855123338,309991109,}
560397656;{3740488834,309991142,}
560397658;{309991161,309991155,}
560398992;{560398995,560398994,3574877496,}
560398993;{560398994,560398995,}
560398994;{560398993,559990926,560398992,}
560398995;{560398993,560398992,}
560399001;{965928396,3699651972,}
560399002;{494779287,5298845539,5298845549,}
560399003;{965928497,965928443,}
560399004;{74659554,965928433,}
560399005;{74659554,559991453,}
560399006;{560399007,559991450,560399010,}
560399007;{560399008,560399006,}
560399008;{560399009,560399007,}
560399009;{560399010,560399008,}
560399010;{560399009,560399006,713766455,}
560399013;{74659655,706664034,}
560399017;{706664034,}
595730969;{705465860,1958259556,1958259582,702151906,}
595730970;{3541796910,303011525,1902293830,1971574118,1902293828,}
595730972;{1902293824,3541796890,}
595742584;{3548012633,3548012656,3648933902,702256699,}
595742585;{3545310629,3736882787,3736882790,3736882788,}
595742586;{3548012996,4281121434,3548012997,4281121432,}
595742595;{3538731259,1220279870,3541796843,}
595742596;{3523463727,1220279894,1730818227,3542510027,}
595742597;{1220279874,3738650816,1730818227,3542510030,}
595742598;{1902293813,3297033491,}
595742599;{3297033491,1902293812,}
595742600;{1902293811,4990838969,}
595742601;{595742604,595742605,1971574124,2885090002,}
595742603;{4873450401,595750932,}
595742604;{3541796911,3523560526,702241641,595742601,}
595742605;{595742601,595750930,303011525,}
595742606;{4873431418,703970083,703969995,703969878,}
595742607;{4873431420,4873471990,4873431415,4873471995,}
595742608;{703969893,703969875,494779315,}
595742609;{3522483094,1902293831,703970072,3643286076,}
595742611;{1905379549,1905379546,}
595742612;{703970120,1966477083,3512206605,1966477076,}
595750927;{3541796983,705465860,595750930,}
595750928;{5298904708,702241657,1958259582,5298904700,}
595750929;{3541796908,3541796911,3541796909,3541796910,}
595750930;{595742605,5298904708,595750932,595750927,}
595750931;{3523560543,1867298169,1952456434,}
595750932;{595742603,1952456440,4873448481,595750930,}
595756038;{2961217574,2961217576,}
595756039;{494779237,2961217575,}
595756040;{919345663,595756041,}
595756041;{595756040,919345661,}
595756042;{494779231,919345660,}
595756043;{2961217543,494779219,}
595756044;{2961217544,2961217545,}
614475821;{1877362650,702270387,}
